file_name	sample_id	sex	bloodfed	color	type
VK3_41	VK3_NBF1	female	no	darkgreen	FNBF
VK3_42	VK3_NBF2	female	no	darkgreen	FNBF
VK3_43	VK3_NBF3	female	no	darkgreen	FNBF
VK3_44	VK3_NBF4	female	no	darkgreen	FNBF
VK3_45	VK3_NBF5	female	no	darkgreen	FNBF
VK3_47	VK3_BF1	female	yes	darkgreen	FBF
VK3_48	VK3_BF2	female	yes	darkgreen	FBF
VK3_49	VK3_BF3	female	yes	darkgreen	FBF
VK3_50	VK3_BF4	female	yes	darkgreen	FBF
VK3_51-55	VK3_M1	male	no	darkgreen	M
VK3_56-60	VK3_M2	male	no	darkgreen	M
VK5_1	VK5_NBF1	female	no	darkgoldenrod1	FNBF
VK5_10	VK5_BF4	female	yes	darkgoldenrod1	FBF
VK5_11-15	VK5_M1	male	no	darkgoldenrod1	M
VK5_16-20	VK5_M2	male	no	darkgoldenrod1	M
VK5_2	VK5_NBF2	female	no	darkgoldenrod1	FNBF
VK5_3	VK5_NBF3	female	no	darkgoldenrod1	FNBF
VK5_4	VK5_NBF4	female	no	darkgoldenrod1	FNBF
VK5_5	VK5_NBF5	female	no	darkgoldenrod1	FNBF
VK5_6	VK5_NBF6	female	no	darkgoldenrod1	FNBF
VK5_7	VK5_BF1	female	yes	darkgoldenrod1	FBF
VK5_8	VK5_BF2	female	yes	darkgoldenrod1	FBF
VK5_9	VK5_BF3	female	yes	darkgoldenrod1	FBF
VK7_21	VK7_NBF1	female	no	mediumslateblue	FNBF
VK7_22	VK7_NBF2	female	no	mediumslateblue	FNBF
VK7_23	VK7_NBF3	female	no	mediumslateblue	FNBF
VK7_24	VK7_NBF4	female	no	mediumslateblue	FNBF
VK7_25	VK7_NBF5	female	no	mediumslateblue	FNBF
VK7_26	VK7_BF1	female	yes	mediumslateblue	FBF
VK7_27	VK7_BF2	female	yes	mediumslateblue	FBF
VK7_28	VK7_BF3	female	yes	mediumslateblue	FBF
VK7_29	VK7_BF4	female	yes	mediumslateblue	FBF
VK7_30	VK7_BF5	female	yes	mediumslateblue	FBF
VK7_31-35	VK7_M1	male	no	mediumslateblue	M
VK7_36-40	VK7_M2	male	no	mediumslateblue	M
